comentario,polaridad,tema,tono,longitud,satisfaccion_min,satisfaccion_max,aspecto_variable,aspecto_valor_min,aspecto_valor_max
"El equipo de soporte responde rápido y soluciona los problemas eficazmente. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,soporte,elogio,largo,4,5,velocidad_respuesta,4,5
"Ha habido cosas buenas y cosas mejorables, en equilibrio. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,general,informal,largo,2,4,ninguno,1,5
"Los problemas técnicos son constantes y afectan mucho a mi aprendizaje. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,tecnologia,formal,largo,1,2,clase_calidad_audio,1,2
"Las actividades planteadas encajan bien con los objetivos del curso. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,metodologia,constructivo,largo,3,5,grado_dificultad,3,5
"Las actividades son aceptables, aunque podrían ser más variadas.",neutral,metodologia,informal,medio,2,4,organiza_actividades,2,4
He echado en falta mayor profundidad en ciertos apartados.,negativo,contenido,informal,corto,1,3,contenidos_adecuados,1,3
"He tenido algunas incidencias técnicas, pero nada grave. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,tecnologia,sugerencia,largo,2,4,clase_calidad_conexion,2,4
"Las conexiones fallan con bastante frecuencia. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,tecnologia,informal,largo,1,3,clase_calidad_conexion,1,3
El ritmo de clase no siempre se adapta al grupo. Creo que aún se podrían mejorar algunos detalles.,negativo,clase,constructivo,medio,1,3,clase_conveniencia_dia,1,3
La dedicación del profesor marca una diferencia enorme en mi aprendizaje.,muy_positivo,profesor,informal,medio,4,5,accesible_y_atiende_consultas,4,5
La mayor parte del contenido me resulta aplicable a mi trabajo. Creo que aún se podrían mejorar algunos detalles.,positivo,contenido,constructivo,corto,3,5,conocimientos_utiles_futuro,3,5
El profesor no consigue explicar los contenidos de forma comprensible. Este punto me genera bastante frustración.,muy_negativo,profesor,queja,corto,1,2,mantiene_atencion,1,2
Estoy muy satisfecho con la experiencia global del curso. Valoro mucho este aspecto del curso.,muy_positivo,general,elogio,medio,4,5,ninguno,1,5
La atención al alumno es excelente y muy cercana. Valoro mucho este aspecto del curso.,muy_positivo,soporte,elogio,medio,4,5,velocidad_respuesta,4,5
No tengo una percepción especialmente buena del curso en general. Creo que aún se podrían mejorar algunos detalles.,negativo,general,constructivo,medio,1,3,ninguno,1,5
"En general estoy satisfecho con cómo el profesor lleva las clases. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,profesor,informal,largo,3,5,recomendaria_profesor,3,5
Las dinámicas de clase me resultan poco útiles y repetitivas. Este punto me genera bastante frustración.,muy_negativo,metodologia,queja,medio,1,2,conocimientos_utiles_futuro,1,2
Las clases suelen tener un ritmo adecuado en la mayoría de los días. Valoro mucho este aspecto del curso.,positivo,clase,elogio,medio,3,5,clase_horario,3,5
"No tengo una opinión muy marcada sobre el profesor, es aceptable. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,profesor,informal,largo,2,4,preparado_clases,2,4
"La metodología es adecuada y me ayuda a entender mejor los temas. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,metodologia,elogio,largo,3,5,grado_dificultad,3,5
"Parte del contenido me ha parecido desactualizado o repetitivo. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,contenido,constructivo,largo,1,3,contenidos_adecuados,1,3
Estoy muy decepcionado con el resultado final del curso. Este punto me genera bastante frustración.,muy_negativo,general,queja,corto,1,2,ninguno,1,5
"La atención al alumno en general es buena. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,soporte,sugerencia,largo,3,5,velocidad_respuesta,3,5
"Las respuestas del equipo de soporte son útiles la mayoría de las veces. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,soporte,formal,largo,3,5,velocidad_respuesta,3,5
"Las clases son correctas, sin algo especialmente destacable. Creo que aún se podrían mejorar algunos detalles.",neutral,clase,constructivo,corto,2,4,clase_conveniencia_dia,2,4
El contenido del curso está muy bien seleccionado y actualizado. Valoro mucho este aspecto del curso.,muy_positivo,contenido,elogio,medio,4,5,contenidos_adecuados,4,5
"Ha habido cosas buenas y cosas mejorables, en equilibrio.",neutral,general,constructivo,corto,2,4,ninguno,1,5
"La atención al alumno podría ser bastante más ágil. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,soporte,informal,largo,1,3,velocidad_respuesta,1,3
"Siempre que he tenido una duda, el soporte me ha ayudado de inmediato.",muy_positivo,soporte,informal,corto,4,5,utilidad_anuncios,4,5
La calidad del audio o vídeo a veces dificulta seguir la clase. Creo que aún se podrían mejorar algunos detalles.,negativo,tecnologia,constructivo,corto,1,3,clase_visibilidad_pantalla,1,3
El nivel del contenido me parece adecuado pero no especialmente diferencial.,neutral,contenido,informal,medio,2,4,contenidos_adecuados,2,4
"Mi experiencia general con el curso es correcta, sin ser espectacular.",neutral,general,informal,medio,2,4,ninguno,1,5
"He tenido algunas incidencias técnicas, pero nada grave. Creo que aún se podrían mejorar algunos detalles.",neutral,tecnologia,constructivo,medio,2,4,clase_visibilidad_pantalla,2,4
"El ritmo de clase es aceptable, aunque no siempre perfecto. Creo que aún se podrían mejorar algunos detalles.",neutral,clase,constructivo,medio,2,4,clase_horario,2,4
En ocasiones las clases se hacen demasiado largas. Este punto me genera bastante frustración.,negativo,clase,queja,medio,1,3,clase_duracion,1,3
No siento que el equipo de soporte se preocupe por mis problemas. Este punto me genera bastante frustración.,muy_negativo,soporte,queja,medio,1,2,utilidad_anuncios,1,2
"La metodología a veces hace que las clases se sientan algo monótonas. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,metodologia,formal,largo,1,3,grado_dificultad,1,3
La atención al alumno podría ser bastante más ágil. Creo que aún se podrían mejorar algunos detalles.,negativo,soporte,constructivo,corto,1,3,utilidad_anuncios,1,3
"Siempre que he tenido una duda, el soporte me ha ayudado de inmediato. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,soporte,elogio,largo,4,5,velocidad_respuesta,4,5
El contenido es interesante y útil en la mayoría de los temas. Me gustaría que se introdujeran cambios en este sentido.,positivo,contenido,sugerencia,medio,3,5,contenidos_adecuados,3,5
El temario no siempre se ajusta a lo que esperaba aprender.,negativo,contenido,informal,medio,1,3,contenidos_adecuados,1,3
"Cuando he tenido incidencias, se han resuelto adecuadamente. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,soporte,sugerencia,largo,3,5,utilidad_anuncios,3,5
"La metodología del curso me resulta correcta, sin destacar demasiado. Me gustaría que se introdujeran cambios en este sentido.",neutral,metodologia,sugerencia,corto,2,4,contenidos_adecuados,2,4
"Hay partes del contenido que me interesan y otras que no tanto. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,contenido,constructivo,largo,2,4,contenidos_adecuados,2,4
La forma de estructurar las actividades hace que todo sea muy fluido.,muy_positivo,metodologia,formal,medio,4,5,grado_dificultad,4,5
No recomendaría este curso a otras personas. Este punto me genera bastante frustración.,muy_negativo,general,queja,medio,1,2,ninguno,1,5
"El profesor explica los conceptos de forma muy clara y estructurada. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,profesor,formal,largo,4,5,accesible_y_atiende_consultas,4,5
Estoy muy insatisfecho con la parte tecnológica del curso. Este punto me genera bastante frustración.,muy_negativo,tecnologia,queja,medio,1,2,clase_visibilidad_pantalla,1,2
La metodología del curso es muy práctica y facilita mucho el aprendizaje. Valoro mucho este aspecto del curso.,muy_positivo,metodologia,elogio,medio,4,5,organiza_actividades,4,5
"El profesor suele explicar bien, aunque a veces va un poco rápido. Valoro mucho este aspecto del curso.",positivo,profesor,elogio,medio,3,5,dominio_materia,3,5
"El curso ha superado mis expectativas en casi todos los aspectos. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,general,formal,largo,4,5,ninguno,1,5
Los materiales del curso aportan valor y complementan bien las clases. Valoro mucho este aspecto del curso.,positivo,contenido,elogio,medio,3,5,contenidos_adecuados,3,5
El equipo de soporte responde rápido y soluciona los problemas eficazmente. Valoro mucho este aspecto del curso.,muy_positivo,soporte,elogio,medio,4,5,velocidad_respuesta,4,5
"El nivel del contenido me parece adecuado pero no especialmente diferencial. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,contenido,sugerencia,largo,2,4,contenidos_adecuados,2,4
"La plataforma cumple su función, sin destacar demasiado. Creo que aún se podrían mejorar algunos detalles.",neutral,tecnologia,constructivo,medio,2,4,clase_visibilidad_pantalla,2,4
"No he encontrado utilidad real en la mayoría de los contenidos. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,contenido,queja,largo,1,2,contenidos_adecuados,1,2
En varias ocasiones he sentido que el soporte tardaba demasiado en responder. Este punto me genera bastante frustración.,negativo,soporte,queja,corto,1,3,velocidad_respuesta,1,3
"He tenido varios problemas técnicos que cortan el ritmo de la sesión. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,tecnologia,queja,largo,1,3,clase_calidad_conexion,1,3
Me siento muy acompañado por el profesor durante todo el curso.,muy_positivo,profesor,formal,corto,4,5,dominio_materia,4,5
"La forma de estructurar las actividades hace que todo sea muy fluido. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,metodologia,elogio,largo,4,5,organiza_actividades,4,5
"Las actividades son aceptables, aunque podrían ser más variadas. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,metodologia,constructivo,largo,2,4,organiza_actividades,2,4
"La tecnología utilizada es correcta, con algún fallo puntual. Me gustaría que se introdujeran cambios en este sentido.",neutral,tecnologia,sugerencia,medio,2,4,clase_calidad_conexion,2,4
"Mi experiencia general con el curso es correcta, sin ser espectacular. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,general,sugerencia,largo,2,4,ninguno,1,5
En general estoy satisfecho con cómo el profesor lleva las clases.,positivo,profesor,sugerencia,corto,3,5,accesible_y_atiende_consultas,3,5
"Ha habido cosas buenas y cosas mejorables, en equilibrio. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,general,sugerencia,largo,2,4,ninguno,1,5
En general la metodología me parece bastante acertada. Me gustaría que se introdujeran cambios en este sentido.,positivo,metodologia,sugerencia,medio,3,5,conocimientos_utiles_futuro,3,5
"La mayor parte del contenido me resulta aplicable a mi trabajo. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,contenido,constructivo,largo,3,5,contenidos_adecuados,3,5
Los problemas técnicos son constantes y afectan mucho a mi aprendizaje.,muy_negativo,tecnologia,formal,corto,1,2,clase_calidad_audio,1,2
"La experiencia global ha sido buena, con algunos puntos mejorables. Valoro mucho este aspecto del curso.",positivo,general,elogio,medio,3,5,ninguno,1,5
La experiencia tecnológica es satisfactoria en la mayoría de las clases.,positivo,tecnologia,formal,corto,3,5,clase_visibilidad_pantalla,3,5
No veo relación clara entre la metodología y los objetivos del curso.,muy_negativo,metodologia,formal,medio,1,2,organiza_actividades,1,2
"El formato de las sesiones me ayuda a seguir el hilo del curso. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,clase,elogio,largo,3,5,clase_horario,3,5
"No he tenido prácticamente ningún problema técnico durante el curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,tecnologia,formal,largo,4,5,clase_calidad_conexion,4,5
"En conjunto, el curso no ha cumplido del todo mis expectativas. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,general,constructivo,largo,1,3,ninguno,1,5
"He echado en falta mayor profundidad en ciertos apartados. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,contenido,formal,largo,1,3,conocimientos_utiles_futuro,1,3
La metodología fomenta la participación y me mantiene motivado.,muy_positivo,metodologia,informal,corto,4,5,conocimientos_utiles_futuro,4,5
A veces las clases son más interesantes y otras más densas. Me gustaría que se introdujeran cambios en este sentido.,neutral,clase,sugerencia,medio,2,4,clase_duracion,2,4
La atención al alumno en general es buena. Creo que aún se podrían mejorar algunos detalles.,positivo,soporte,constructivo,medio,3,5,velocidad_respuesta,3,5
A veces el profesor no consigue que los conceptos queden claros.,negativo,profesor,formal,medio,1,3,recomendaria_profesor,1,3
"La mayor parte del contenido me resulta aplicable a mi trabajo. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,contenido,sugerencia,largo,3,5,contenidos_adecuados,3,5
El programa del curso cubre exactamente lo que esperaba aprender. Valoro mucho este aspecto del curso.,muy_positivo,contenido,elogio,medio,4,5,conocimientos_utiles_futuro,4,5
"Las respuestas del equipo de soporte son útiles la mayoría de las veces. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,soporte,sugerencia,largo,3,5,utilidad_anuncios,3,5
"No siento que el equipo de soporte se preocupe por mis problemas. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,soporte,formal,largo,1,2,utilidad_anuncios,1,2
"El contenido es correcto, aunque algunos temas me han parecido básicos. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,contenido,sugerencia,largo,2,4,conocimientos_utiles_futuro,2,4
"La forma de estructurar las actividades hace que todo sea muy fluido. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,metodologia,informal,largo,4,5,contenidos_adecuados,4,5
"Cuando he tenido incidencias, se han resuelto adecuadamente. Valoro mucho este aspecto del curso.",positivo,soporte,elogio,medio,3,5,velocidad_respuesta,3,5
"El curso ha cumplido, pero no ha destacado demasiado. Me gustaría que se introdujeran cambios en este sentido.",neutral,general,sugerencia,medio,2,4,ninguno,1,5
"El nivel del contenido me parece adecuado pero no especialmente diferencial. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,contenido,formal,largo,2,4,contenidos_adecuados,2,4
"Mi experiencia general con el curso es correcta, sin ser espectacular. Creo que aún se podrían mejorar algunos detalles.",neutral,general,constructivo,medio,2,4,ninguno,1,5
"Hay partes del contenido que me interesan y otras que no tanto. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,contenido,informal,largo,2,4,conocimientos_utiles_futuro,2,4
"Siento que la forma de trabajar es estándar, ni especialmente buena ni mala. Me gustaría que se introdujeran cambios en este sentido.",neutral,metodologia,sugerencia,medio,2,4,conocimientos_utiles_futuro,2,4
"Estoy muy insatisfecho con la parte tecnológica del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,tecnologia,formal,largo,1,2,clase_calidad_conexion,1,2
En general la metodología me parece bastante acertada.,positivo,metodologia,informal,corto,3,5,grado_dificultad,3,5
"La experiencia global ha sido buena, con algunos puntos mejorables. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,general,elogio,largo,3,5,ninguno,1,5
"La atención es aceptable pero podría ser más proactiva. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,soporte,constructivo,largo,2,4,velocidad_respuesta,2,4
"En general las clases son agradables y productivas. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,clase,sugerencia,largo,3,5,clase_duracion,3,5
"Me siento muy acompañado por el soporte académico y técnico. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,soporte,elogio,largo,4,5,velocidad_respuesta,4,5
"Siento que la forma de trabajar es estándar, ni especialmente buena ni mala. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,metodologia,constructivo,largo,2,4,organiza_actividades,2,4
"La metodología fomenta la participación y me mantiene motivado. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,metodologia,elogio,largo,4,5,organiza_actividades,4,5
Repetiría una formación similar con esta escuela. Creo que aún se podrían mejorar algunos detalles.,positivo,general,constructivo,medio,3,5,ninguno,1,5
"Estoy muy satisfecho con la experiencia global del curso. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,general,elogio,largo,4,5,ninguno,1,5
La calidad del audio o vídeo a veces dificulta seguir la clase. Este punto me genera bastante frustración.,negativo,tecnologia,queja,medio,1,3,clase_calidad_conexion,1,3
"Siento que pierdo el tiempo en bastantes sesiones. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,clase,queja,largo,1,2,clase_conveniencia_dia,1,2
La forma de estructurar las actividades hace que todo sea muy fluido. Valoro mucho este aspecto del curso.,muy_positivo,metodologia,elogio,corto,4,5,contenidos_adecuados,4,5
En general estoy satisfecho con el contenido que se ha impartido. Creo que aún se podrían mejorar algunos detalles.,positivo,contenido,constructivo,medio,3,5,contenidos_adecuados,3,5
Las conexiones fallan con bastante frecuencia. Este punto me genera bastante frustración.,negativo,tecnologia,queja,medio,1,3,clase_visibilidad_pantalla,1,3
"Las soluciones que me han dado no siempre han sido claras. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,soporte,formal,largo,1,3,velocidad_respuesta,1,3
"El soporte responde de forma correcta, sin destacar demasiado. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,soporte,informal,largo,2,4,velocidad_respuesta,2,4
El equipo de soporte responde rápido y soluciona los problemas eficazmente.,muy_positivo,soporte,elogio,corto,4,5,utilidad_anuncios,4,5
"No he encontrado utilidad real en la mayoría de los contenidos. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,contenido,formal,largo,1,2,contenidos_adecuados,1,2
Los materiales del curso aportan valor y complementan bien las clases. Creo que aún se podrían mejorar algunos detalles.,positivo,contenido,constructivo,medio,3,5,contenidos_adecuados,3,5
"No tengo una opinión muy fuerte sobre el soporte, es razonable. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,soporte,informal,largo,2,4,utilidad_anuncios,2,4
"Me siento perdido en las clases por la falta de claridad del profesor. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,profesor,formal,largo,1,2,mantiene_atencion,1,2
He tenido varios problemas técnicos que cortan el ritmo de la sesión. Creo que aún se podrían mejorar algunos detalles.,negativo,tecnologia,constructivo,medio,1,3,clase_visibilidad_pantalla,1,3
"La experiencia global ha sido buena, con algunos puntos mejorables. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,general,constructivo,largo,3,5,ninguno,1,5
"Siento que la forma de trabajar es estándar, ni especialmente buena ni mala. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,metodologia,formal,largo,2,4,grado_dificultad,2,4
"En ocasiones las clases se hacen demasiado largas. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,clase,formal,largo,1,3,clase_horario,1,3
"El curso ha cumplido, pero no ha destacado demasiado. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,general,sugerencia,largo,2,4,ninguno,1,5
Estoy muy decepcionado con el enfoque y selección del temario.,muy_negativo,contenido,formal,medio,1,2,conocimientos_utiles_futuro,1,2
El profesor domina el contenido y sabe transmitirlo de manera excelente. Valoro mucho este aspecto del curso.,muy_positivo,profesor,elogio,medio,4,5,dominio_materia,4,5
"Estoy muy decepcionado con el enfoque y selección del temario. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,contenido,formal,largo,1,2,conocimientos_utiles_futuro,1,2
"En general la metodología me parece bastante acertada. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,metodologia,constructivo,largo,3,5,contenidos_adecuados,3,5
En general estoy satisfecho con el contenido que se ha impartido. Me gustaría que se introdujeran cambios en este sentido.,positivo,contenido,sugerencia,medio,3,5,conocimientos_utiles_futuro,3,5
"La atención al alumno en general es buena. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,soporte,informal,largo,3,5,velocidad_respuesta,3,5
"La tecnología utilizada es correcta, con algún fallo puntual. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,tecnologia,constructivo,largo,2,4,clase_calidad_audio,2,4
"Echo en falta más ejemplos o aclaraciones por parte del profesor. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,profesor,informal,largo,1,3,preparado_clases,1,3
No disfruto las clases y a menudo desconecto. Este punto me genera bastante frustración.,muy_negativo,clase,queja,medio,1,2,clase_horario,1,2
"La organización de cada sesión hace que aproveche muy bien el tiempo. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,clase,elogio,largo,4,5,clase_horario,4,5
"El profesor mantiene un nivel adecuado, sin puntos muy fuertes ni muy débiles. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,profesor,constructivo,largo,2,4,mantiene_atencion,2,4
Parte del contenido me ha parecido desactualizado o repetitivo. Creo que aún se podrían mejorar algunos detalles.,negativo,contenido,constructivo,medio,1,3,contenidos_adecuados,1,3
"El profesor mantiene un nivel adecuado, sin puntos muy fuertes ni muy débiles. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,profesor,informal,largo,2,4,preparado_clases,2,4
La experiencia en clase es razonable y estable. Creo que aún se podrían mejorar algunos detalles.,neutral,clase,constructivo,medio,2,4,clase_duracion,2,4
"Las explicaciones del profesor son correctas pero podrían ser más dinámicas. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,profesor,formal,largo,2,4,dominio_materia,2,4
"El profesor suele explicar bien, aunque a veces va un poco rápido. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,profesor,formal,largo,3,5,accesible_y_atiende_consultas,3,5
"He tenido que insistir más de una vez para resolver algunos problemas. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,soporte,queja,largo,1,3,utilidad_anuncios,1,3
El temario no siempre se ajusta a lo que esperaba aprender. Creo que aún se podrían mejorar algunos detalles.,negativo,contenido,constructivo,corto,1,3,contenidos_adecuados,1,3
La experiencia tecnológica es satisfactoria en la mayoría de las clases. Me gustaría que se introdujeran cambios en este sentido.,positivo,tecnologia,sugerencia,corto,3,5,clase_visibilidad_pantalla,3,5
"Ha habido cosas buenas y cosas mejorables, en equilibrio. Me gustaría que se introdujeran cambios en este sentido.",neutral,general,sugerencia,medio,2,4,ninguno,1,5
Las clases suelen tener un ritmo adecuado en la mayoría de los días. Creo que aún se podrían mejorar algunos detalles.,positivo,clase,constructivo,medio,3,5,clase_duracion,3,5
"Los materiales del curso aportan valor y complementan bien las clases. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,contenido,sugerencia,largo,3,5,conocimientos_utiles_futuro,3,5
"El profesor mantiene un nivel adecuado, sin puntos muy fuertes ni muy débiles. Me gustaría que se introdujeran cambios en este sentido.",neutral,profesor,sugerencia,corto,2,4,recomendaria_profesor,2,4
Algunas sesiones se sienten poco productivas. Este punto me genera bastante frustración.,negativo,clase,queja,medio,1,3,clase_conveniencia_dia,1,3
"El nivel del contenido me parece adecuado pero no especialmente diferencial. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,contenido,constructivo,largo,2,4,contenidos_adecuados,2,4
"A veces las clases son más interesantes y otras más densas. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,clase,constructivo,largo,2,4,clase_horario,2,4
"Ha habido cosas buenas y cosas mejorables, en equilibrio. Creo que aún se podrían mejorar algunos detalles.",neutral,general,constructivo,corto,2,4,ninguno,1,5
La atención es aceptable pero podría ser más proactiva.,neutral,soporte,formal,medio,2,4,utilidad_anuncios,2,4
"El contenido del curso no ha cumplido mis expectativas. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,contenido,queja,largo,1,2,contenidos_adecuados,1,2
"Solo he tenido pequeños problemas técnicos que se han resuelto rápido. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,tecnologia,formal,largo,3,5,clase_calidad_audio,3,5
Hay varios aspectos del curso que me han dejado insatisfecho. Creo que aún se podrían mejorar algunos detalles.,negativo,general,constructivo,medio,1,3,ninguno,1,5
En varias ocasiones he sentido que el soporte tardaba demasiado en responder. Creo que aún se podrían mejorar algunos detalles.,negativo,soporte,constructivo,corto,1,3,velocidad_respuesta,1,3
Recomendaría este curso sin dudarlo a otras personas. Valoro mucho este aspecto del curso.,muy_positivo,general,elogio,corto,4,5,ninguno,1,5
"Estoy muy insatisfecho con la parte tecnológica del curso. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,tecnologia,queja,largo,1,2,clase_visibilidad_pantalla,1,2
Muchos temas me parecen irrelevantes para mis objetivos. Este punto me genera bastante frustración.,muy_negativo,contenido,queja,corto,1,2,contenidos_adecuados,1,2
"Cuando he tenido incidencias, se han resuelto adecuadamente. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,soporte,constructivo,largo,3,5,velocidad_respuesta,3,5
La metodología es adecuada y me ayuda a entender mejor los temas. Me gustaría que se introdujeran cambios en este sentido.,positivo,metodologia,sugerencia,medio,3,5,contenidos_adecuados,3,5
En general estoy satisfecho con cómo el profesor lleva las clases. Me gustaría que se introdujeran cambios en este sentido.,positivo,profesor,sugerencia,medio,3,5,preparado_clases,3,5
Las clases tienen un ritmo muy bueno y mantienen mi atención. Valoro mucho este aspecto del curso.,muy_positivo,clase,elogio,medio,4,5,clase_duracion,4,5
"La metodología del curso me resulta correcta, sin destacar demasiado. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,metodologia,sugerencia,largo,2,4,organiza_actividades,2,4
"El curso ha cumplido, pero no ha destacado demasiado. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,general,constructivo,largo,2,4,ninguno,1,5
"La estructura de las sesiones es razonable, pero algo predecible. Creo que aún se podrían mejorar algunos detalles.",neutral,metodologia,constructivo,medio,2,4,conocimientos_utiles_futuro,2,4
"El soporte casi nunca responde a tiempo a mis consultas. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,soporte,formal,largo,1,2,velocidad_respuesta,1,2
"He tenido que insistir más de una vez para resolver algunos problemas. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,soporte,formal,largo,1,3,velocidad_respuesta,1,3
No siempre el profesor responde de forma clara a las dudas. Este punto me genera bastante frustración.,negativo,profesor,queja,medio,1,3,dominio_materia,1,3
Siento que pierdo el tiempo en bastantes sesiones.,muy_negativo,clase,formal,corto,1,2,clase_conveniencia_dia,1,2
En general la metodología me parece bastante acertada. Valoro mucho este aspecto del curso.,positivo,metodologia,elogio,medio,3,5,conocimientos_utiles_futuro,3,5
"La calidad de la conexión suele ser buena. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,tecnologia,constructivo,largo,3,5,clase_visibilidad_pantalla,3,5
